ambient_temp,body_temp
cold,30.4
cold,31
cold,31.2
cold,31
cold,31.5
cold,30.4
cold,30.6
cold,31.1
cold,31.3
cold,31.9
cold,31.4
cold,31.6
cold,31.5
cold,31.4
cold,30.3
cold,30.5
cold,30.3
cold,30
cold,30.8
cold,31
warm,36.3
warm,37.5
warm,36.9
warm,37.2
warm,37.5
warm,37.7
warm,37.5
warm,37.7
warm,38
warm,38
warm,37.6
warm,37.4
warm,37.9
warm,37.2
warm,36.3
warm,36.2
warm,36.4
warm,36.7
warm,36.8
warm,37
warm,37.7
hot,40.7
hot,40.6
hot,40.9
hot,41.1
hot,41.5
hot,40.8
hot,40.5
hot,41
hot,41.3
hot,41.5
hot,41.3
hot,41.2
hot,40.7
hot,40.3
hot,40.2
hot,41.3
hot,40.7
hot,41.6
hot,41.5
hot,40.5